title,price,detail_url,subject,condition,medium,size,No.,description,artists_engravers,main_pic,image_1,image_2,image_3,image_4,image_5,term
Antique Print-CRUISER-WARSHIP-SAIL-STEAM-Larousse-1897,"29,50",http://www.theprintscollector.com/Article/Antique-Print-CRUISER-WARSHIP-SAIL-STEAM-Larousse-1897,"Antique print, titled: 'Cuirasse.' - (Cruisers). This plate shows various sail or steam cruisers (warships).","Excellent, given age. Irregular left paper edge from binding. Some small stains in margin. General age-related toning and/or occasional minor defects from handling. Please study scan carefully.",Lithograph using rastering techniques on wove paper.,24.2 x 31.2,63377,"This lithographic print originates from: 'Nouveau Larousse Illustre en sept volumes.', Directeur Claude Auge, Paris, published 1897-1904, with a supplement addedin 1907. The Nouveau Larousse illustre (New Larousse Illustrated) was an illustrated French language encyclopedia published by Larousse between 1897-1904, in 7 volumes and a supplement. It was essentially a scaled-down version of the 'Grand dictionnaire universel du XIXe siecle.' (Great universal dictionary of the 19th century) of Pierre Larousse, but updated and written in a more neutral, scientific style under the editorship of Claude Auge.<BR><BR><B>Artists and Engravers:  </B>Made by 'Pierre Larousse' after an anonymous artist. Pierre Larousse (1817-1875). Claude Auge (1854-1924). Plate by M. Dessertenne.",Made by 'Pierre Larousse' after an anonymous artist. Pierre Larousse (1817-1875). Claude Auge (1854-1924). Plate by M. Dessertenne.,http://www.theprintscollector.com/ebay/img/cb2594.jpg,http://www.theprintscollector.com/ebay/img/cb2594.jpg,http://www.theprintscollector.com/ebay/img/cb2594.jpg,http://www.theprintscollector.com/ebay/img/cb2594.jpg,http://www.theprintscollector.com/ebay/img/cb2594.jpg,http://www.theprintscollector.com/ebay/img/cb2594.jpg,Travel and Transportation
Antique Print-TRANSPORT-SPANISH RULE-DRUMMER-FLUTE-MUSIC-Cattier-Heins-1885,"34,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-SPANISH-RULE-DRUMMER-FLUTE-MUSIC-Cattier-Heins-1885,Plate 16: 'Epoque de la Domination Espagnole - XVIe siecle - Tambours et Fifres de la Hanse.' (Spanish rule - 16th century - Drummers and Flute players).,Very good. Margins with some thumbing. General age-related toning and/or occasional light stains from handling. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,35 x 24.5,35747,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab945-2.jpg,,,,,,Travel and Transportation
Antique Print-CABRIOLET CAR-CITROEN B14-L'equipement Automobile-Riegel-1930,"44,50",http://www.theprintscollector.com/Article/Antique-Print-CABRIOLET-CAR-CITROEN-B14-Lequipement-Automobile-Riegel-1930,Plate : This plate shows a Cabriolet Car on a chassis B14 by Citroen. Body by Derouault &amp; Jongen.,Good. General age related toning. Bottom right corner browned barely affecting image. Crease lower part of image. Overall good. Please study scan carefully.,Lithographic print.,28 x 23,26187,"This plate was a supplement to L'Equipment Automobile Magazine published in France ca. 1930.<BR><BR><B>Artists and Engravers:  </B>Riegel, artist.","Riegel, artist.",http://www.theprintscollector.com/ebay/img/bb07327.jpg,,,,,,Travel and Transportation
Antique Print-SAILING-FRIGATE-SHOOTING COMPETITION-TIR NATIONAL-Anonymous-1867,"44,50",http://www.theprintscollector.com/Article/Antique-Print-SAILING-FRIGATE-SHOOTING-COMPETITION-TIR-NATIONAL-Anonymous-1867,"Antique print, titled: 'The American Frigate Franklin off Gravesend. The Belgian Tir National.' - Two images on one sheet. The top image shows the American frigate Franklin, a three-mast sailing ship. The lower image relates to the annual shooting competition of the Belgian riflemen at Brussels. The image shows the decoration of the Place des Martyrs at night.","Very good, given age. Staining in margin. Text on the rear, shows on the front. General age-related toning and/or occasional minor defects from handling. Please study scan carefully.",Wood engraving  on wove paper.,27.6 x 20.3,60177,"This antique print originates from 'The Illustrated London News'. The Illustrated London News was the world's first illustrated weekly news magazine; its inaugural issue appeared on Saturday, 14 May 1842. The magazine was published weekly until 1971, and less frequently thereafter. Publication ceased in 2003. This plate was published 1867.<BR><BR><B>Artists and Engravers:  </B>Anonymous.",Anonymous.,http://www.theprintscollector.com/ebay/img/cb2780.jpg,,,,,,Travel and Transportation
Antique Print-SHIP-CHASE-STEAMER-SLAVER-BRIGANTINE-E.W.-Smyth-1858,"44,50",http://www.theprintscollector.com/Article/Antique-Print-SHIP-CHASE-STEAMER-SLAVER-BRIGANTINE-EW-Smyth-1858,"Antique print, titled: 'Night chase of the Brigantine Slaver 'Windward', by H.M. Steam-sloop 'Alecto'.' - This plate shows the nightly chase of the Brigantine Slaver 'Windward', by H.M. Steam-sloop 'Alecto'. The text on the rear describes the exact circumstances.","Very good, given age. Staining in margin. Text on the rear, shows on the front. General age-related toning and/or occasional minor defects from handling. Please study scan carefully.",Wood engraving  on wove paper.,40.5 x 27,60178,"This antique print originates from 'The Illustrated London News'. The Illustrated London News was the world's first illustrated weekly news magazine; its inaugural issue appeared on Saturday, 14 May 1842. The magazine was published weekly until 1971, and less frequently thereafter. Publication ceased in 2003. This plate was published 1858.<BR><BR><B>Artists and Engravers:  </B>Made by 'Smyth' after 'E.W.'. We have not been able to determine which Smyth was the engraver. We have not been abel to determine who this monogrammist is.",Made by 'Smyth' after 'E.W.'. We have not been able to determine which Smyth was the engraver. We have not been abel to determine who this monogrammist is.,http://www.theprintscollector.com/ebay/img/cb2779.jpg,,,,,,Travel and Transportation
Antique Print-RAILWAY-CONDUCTOR-TRAINS-1889,"44,50",http://www.theprintscollector.com/Article/Antique-Print-RAILWAY-CONDUCTOR-TRAINS-1889,Plate: 'Conducteur (1839). Conducteur (1889)'. (Two views on one plate a conductor with a trumpet in 1839 and a view of a conductor of 1889 with a red sash).,Good considering age. Some small stains in the margins and/or faint dampstains. Please study scan carefully.,"Tinted lithograph, with hand heightened colour details (red and yellow).",31 x 24,48389,"This scarse attractive plate orginates from: 'Hollandsche IJzeren Spoorweg-Maatschappij, 1839-1889', published by Stoomdrukkerij Ellerman, Harms & Co., Amsterdam, 1889<BR><BR><B>Artists and Engravers:  </B>Anonymous. To be determined.",Anonymous. To be determined.,http://www.theprintscollector.com/ebay/img/ljc1238.jpg,,,,,,Travel and Transportation
Antique Print-RAILWAY-CROSSING GUARD-RED FLAG-TRAINS-1889,"44,50",http://www.theprintscollector.com/Article/Antique-Print-RAILWAY-CROSSING-GUARD-RED-FLAG-TRAINS-1889,"Plate: 'Overwegwachteres (1889). Overwegwachter (1889)'. (Two views on one plate, a female crossing guard and a male crossing guard both with a red flag in1889).",Good considering age. Some small stains in the margins and/or faint dampstains. Please study scan carefully.,"Tinted lithograph, with hand heightened colour details (red and yellow).",32 x 24.5,48386,"This scarse attractive plate orginates from: 'Hollandsche IJzeren Spoorweg-Maatschappij, 1839-1889', published by Stoomdrukkerij Ellerman, Harms & Co., Amsterdam, 1889<BR><BR><B>Artists and Engravers:  </B>Anonymous. To be determined.",Anonymous. To be determined.,http://www.theprintscollector.com/ebay/img/ljc1240.jpg,,,,,,Travel and Transportation
Antique Print-RAILWAY-CROSSING GUARD-WHITE FLAG-TRAINS-1889,"44,50",http://www.theprintscollector.com/Article/Antique-Print-RAILWAY-CROSSING-GUARD-WHITE-FLAG-TRAINS-1889,Plate: 'Overwegwachter (1839)'. (A Crossing Guard with a white flag).,Good considering age. Some small stains in the margins and/or faint dampstains. Please study scan carefully.,"Tinted lithograph, with hand heightened colour details (red and yellow).",32 x 24.5,48385,"This scarse attractive plate orginates from: 'Hollandsche IJzeren Spoorweg-Maatschappij, 1839-1889', published by Stoomdrukkerij Ellerman, Harms & Co., Amsterdam, 1889<BR><BR><B>Artists and Engravers:  </B>Anonymous. To be determined.",Anonymous. To be determined.,http://www.theprintscollector.com/ebay/img/ljc1242.jpg,,,,,,Travel and Transportation
Antique Print-RAILWAY-MACHINIST-TRAINS-1889,"44,50",http://www.theprintscollector.com/Article/Antique-Print-RAILWAY-MACHINIST-TRAINS-1889,"Plate: 'Machinist (1839). Machinist (1889)'. (Two views on one plate, a Machinist in a white uniform from 1839 and a view of a Machinist in a black uniform from 1889).",Good considering age. Some small stains in the margins and/or faint dampstains. Please study scan carefully.,"Tinted lithograph, with hand heightened colour details (red and yellow).",32 x 24.5,48387,"This scarse attractive plate orginates from: 'Hollandsche IJzeren Spoorweg-Maatschappij, 1839-1889', published by Stoomdrukkerij Ellerman, Harms & Co., Amsterdam, 1889<BR><BR><B>Artists and Engravers:  </B>Anonymous. To be determined.",Anonymous. To be determined.,http://www.theprintscollector.com/ebay/img/ljc1239.jpg,,,,,,Travel and Transportation
Antique Print-RAILWAY-STATIONMASTER-TRAINS-1889,"44,50",http://www.theprintscollector.com/Article/Antique-Print-RAILWAY-STATIONMASTER-TRAINS-1889,"Plate: 'Ontvanger (Stationschef) (1839). Stationschef (1889)'. (Two views on one plate, a stationmaster in 1839 and a view of a stationmaster of 1889).",Good considering age. Some small stains in the margins and/or faint dampstains. Please study scan carefully.,"Tinted lithograph, with hand heightened colour details (red and yellow).",32 x 24.5,48388,"This scarse attractive plate orginates from: 'Hollandsche IJzeren Spoorweg-Maatschappij, 1839-1889', published by Stoomdrukkerij Ellerman, Harms & Co., Amsterdam, 1889<BR><BR><B>Artists and Engravers:  </B>Anonymous. To be determined.",Anonymous. To be determined.,http://www.theprintscollector.com/ebay/img/ljc1241.jpg,,,,,,Travel and Transportation
2 Antique Prints-SHIP-SAILING-STEAM-PADDLE-Larousse-1897,"44,50",http://www.theprintscollector.com/Article/2-Antique-Prints-SHIP-SAILING-STEAM-PADDLE-Larousse-1897,"2 Antique prints, titled: 'Navire.' - (Ships). These plate show various types of ship. This includes two plates of historic sailing ships, and one plate with (more) modern steamships and paddle steamers.","Excellent, given age. Irregular left paper edge from binding. Some small stains in margin. Two images on one sheet (front and rear). General age-related toning and/or occasional minor defects from handling. Please study scan carefully.",Lithograph using rastering techniques on wove paper.,24.2 x 31.2,63412,"This lithographic print originates from: 'Nouveau Larousse Illustre en sept volumes.', Directeur Claude Auge, Paris, published 1897-1904, with a supplement addedin 1907. The Nouveau Larousse illustre (New Larousse Illustrated) was an illustrated French language encyclopedia published by Larousse between 1897-1904, in 7 volumes and a supplement. It was essentially a scaled-down version of the 'Grand dictionnaire universel du XIXe siecle.' (Great universal dictionary of the 19th century) of Pierre Larousse, but updated and written in a more neutral, scientific style under the editorship of Claude Auge.<BR><BR><B>Artists and Engravers:  </B>Made by 'Pierre Larousse' after an anonymous artist. Pierre Larousse (1817-1875). Claude Auge (1854-1924). Plate by M. Dessertenne.",Made by 'Pierre Larousse' after an anonymous artist. Pierre Larousse (1817-1875). Claude Auge (1854-1924). Plate by M. Dessertenne.,http://www.theprintscollector.com/ebay/img/cb2643b.jpg,http://www.theprintscollector.com/ebay/img/cb2643b.jpg,http://www.theprintscollector.com/ebay/img/cb2643a.jpg,http://www.theprintscollector.com/ebay/img/cb2642.jpg,,,Travel and Transportation
Antique Print-PHILIP THE HANDSOME-SHIP-Roever-1890,"44,50",http://www.theprintscollector.com/Article/Antique-Print-PHILIP-THE-HANDSOME-SHIP-Roever-1890,"Plate: 'Reis van Filips den Schoone naar Spanje.' (The journey of Philip I of Castile, also called Philip the handsome, to Spain.)",Excellent. General age related toning. Occasional light staining and/or foxing as visible on the scan.,Original colour lithographs / chromolithographs on a vellin type paper.,28 x 19,15999,"This original old antique print / plate / view originates from: 'Het leven van onze voorouders.'  (tranl.: The life of our ancestors.) by N. de Roever and continued by Dr. G.J. Dozy, published in Amsterdam by Van Holkema en Warendorf, 1890 - 1906.<BR><BR><B>Artists and Engravers:  </B>The plates are mostly by Willem Steelink jr. (1856-1928), a well known Dutch painter and engraver. The plates were published by Tresling & co., S. Lankhout, L. van Leer & co., Bruckmann.","The plates are mostly by Willem Steelink jr. (1856-1928), a well known Dutch painter and engraver. The plates were published by Tresling & co., S. Lankhout, L. van Leer & co., Bruckmann.",http://www.theprintscollector.com/ebay/img/mp0425-2.JPG,,,,,,Travel and Transportation
Antique Print-CABRIOLET CAR-LORRAINE 310-L'equipement Automobile-1930,"52,50",http://www.theprintscollector.com/Article/Antique-Print-CABRIOLET-CAR-LORRAINE-310-Lequipement-Automobile-1930,Plate : This plate shows a Cabriolet Car on a chassis 310 by Lorraine.,Good. General age related toning. Please study scan carefully.,Lithographic print.,28 x 20,26188,This plate was a supplement to L'Equipment Automobile Magazine published in France ca. 1930.<BR><BR><B>Artists and Engravers:  </B>,,http://www.theprintscollector.com/ebay/img/bb07326.jpg,,,,,,Travel and Transportation
Antique Print-SALOON CAR-AUTOBINEAU-L'equipement Automobile-Riegel-1930,"52,50",http://www.theprintscollector.com/Article/Antique-Print-SALOON-CAR-AUTOBINEAU-Lequipement-Automobile-Riegel-1930,Plate : This plate shows a Saloon Car by Autobineau.,Good. General age related toning. Please study scan carefully.,Lithographic print.,28 x 21,26193,"This plate was a supplement to L'Equipment Automobile Magazine published in France ca. 1930.<BR><BR><B>Artists and Engravers:  </B>Riegel, artist.","Riegel, artist.",http://www.theprintscollector.com/ebay/img/bb07322.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-WILLIAM I-POSTILLION-MUSIC-STAGECOACH-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-WILLIAM-I-POSTILLION-MUSIC-STAGECOACH-Cattier-Heins-1885,Plate 30: 'Regne de Guillaume 1er des Pays Bas - XIXe siecle - Musique de Postillons - Voiture de Poste - Voiture de Voyage.' (Reign of William I of the Netherlands - 19th century - Postillion music - Stagecoach - Travel wagon).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35761,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab959.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-HOUSE OF BURGUNDY-CHATELAINE-LITTER-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-HOUSE-OF-BURGUNDY-CHATELAINE-LITTER-Cattier-Heins-1885,Plate 14: 'Regne de la Maison de Bourgogne - XVe siecle - Litiere de Chatelaine.' (Reign of the House of Burgundy - 15th century - Litter of a Chatelaine).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35745,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab943.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-SPANISH RULE-LITTER-HORSE-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-SPANISH-RULE-LITTER-HORSE-Cattier-Heins-1885,Plate 18: 'Domination Espagnole - XVIe siecle - Litiere.' (Spanish rule - 16th century - Litter).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35749,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab947.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-ARCHDUKE-ALBERT-STAGECOACH-WAGON-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-ARCHDUKE-ALBERT-STAGECOACH-WAGON-Cattier-Heins-1885,Plate 24: 'Regne des Archiducs Albert &amp; Isabelle - XVIIe siecle - Diligence avec son Escorte.' (Reign of the Archdukes Albert and Isabella - 17th century - Stagecoach with escort).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35755,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab953.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-RAILWAY BOSSES-BELGIUM-HORSES-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-RAILWAY-BOSSES-BELGIUM-HORSES-Cattier-Heins-1885,Plate 34: '1835 - 1885. Cartels des Ministres des Chemins de Fer.' (The bosses of the Belgian Railways).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39 x 24.5,35764,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab962.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-AUSTRIAN RULE-STAGECOACH-PACK MULE-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-AUSTRIAN-RULE-STAGECOACH-PACK-MULE-Cattier-Heins-1885,Plate 26: 'Domination Autrichienne - XVIIIe siecle - Musique - Anes Porteurs - Chaise de Poste.' (Austrian rule - 18th century - music - pack mules - stagecoach).,Good. General age-related toning. Some foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35757,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab955.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-ARCHDUKE-ALBERT-RUBENS WAGON-HORSE-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-ARCHDUKE-ALBERT-RUBENS-WAGON-HORSE-Cattier-Heins-1885,Plate 22: 'Regne des Archiducs Albert &amp; Isabelle - XVIIe siecle - Voiture Rubens et Escorte.' (Reign of the Archdukes Albert and Isabella - 17th century - Rubens wagon and escort).,Good. General age-related toning. Some foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35753,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab964.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-WILLIAM I-CABRIOLET-WAGON-CARRIAGE-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-WILLIAM-I-CABRIOLET-WAGON-CARRIAGE-Cattier-Heins-1885,Plate 28: 'Regne de Guillaume 1er des Pays Bas - XIXe siecle - Poste Royale des Pays Bas - Cabriolet - Chariot des Vins - Chariot de Houille.' (Reign of William I of the Netherlands - 19th century - Royal Mail - Cabriolet - Wine wagon - Oil wagon).,Good. General age-related toning. Some foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35759,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab957.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-ARCHDUKE-ALBERT-ANTWERPIAN WAGON-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-ARCHDUKE-ALBERT-ANTWERPIAN-WAGON-Cattier-Heins-1885,Plate 23: 'Regne des Archiducs Albert &amp; Isabelle - XVIIe siecle - Voiture Anversoise - Patache.' (Reign of the Archdukes Albert and Isabella - 17th century - Antwerpian wagon - Patache).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35754,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab952.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-AUSTRIAN RULE-LITTER-WAGON-CARRIAGE-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-AUSTRIAN-RULE-LITTER-WAGON-CARRIAGE-Cattier-Heins-1885,Plate 27: 'Domination Autrichienne - XVIIIe siecle - Chaise a Porteurs - Tombereaux de Gros Roulage - Vinaigrette - Coupe de Voyage.' (Austrian rule - 18th century - Litter carriers - two-wheeled carriage).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35758,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab956.jpg,,,,,,Travel and Transportation
