title,price,detail_url,subject,condition,medium,size,No.,description,artists_engravers,main_pic,image_1,image_2,image_3,image_4,image_5,term
Antique Print-TRANSPORT-AUSTRIAN RULE-FLIGUETTE-CARRIAGE-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-AUSTRIAN-RULE-FLIGUETTE-CARRIAGE-Cattier-Heins-1885,"Plate 25: 'Domination Autrichienne - XVIIIe siecle - Voiture de Voyage, Fliguette et Chaise a Porteurs.' (Austrian rule - 18th century - Travel wagon, two-wheeled horse drawn carriage).",Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35756,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab954.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-CRUSADES-PACK MULE-LITTER-CARRIERS-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-CRUSADES-PACK-MULE-LITTER-CARRIERS-Cattier-Heins-1885,Plate 8: 'Epoque des Croisades - XIe siecle - Civiere - Porteurs - Mulet Charges.' (Time of the Crusades - 11th century - Litter - Carriers - Pack Mules).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35739,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab937.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-MIDDLE AGES-CAVALRY-WAR CHARIOT-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-MIDDLE-AGES-CAVALRY-WAR-CHARIOT-Cattier-Heins-1885,Plate 11: 'Epoque Communale - XIIIe siecle - Chariot de Transport de Guerre et Cavaliers.' (Middle Ages - 13th century - Military Transport wagon and cavalry).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35742,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab940.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-CRUSADES-LITUUS-WAR CHARIOT-HORSE-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-CRUSADES-LITUUS-WAR-CHARIOT-HORSE-Cattier-Heins-1885,Plate 7: 'Epoque des Croisades - XIe siecle - Sonneurs de Lituus - Char de Guerre.' (Time of the Crusades - 11th century - Players of the Lituus - War Chariot).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35738,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab936.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-MIDDLE AGES-HUNTING PARTY-CARRIERS-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-MIDDLE-AGES-HUNTING-PARTY-CARRIERS-Cattier-Heins-1885,Plate 10: 'Epoque Communale - XIIIe siecle - Equipage de Chasse et Porteurs.' (Middle Ages - 13th century - Hunting party with carriers).,Good. General age-related toning. Moderate foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35741,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab939.jpg,,,,,,Travel and Transportation
Antique Print-TRADE FAIR-BRUSSELS-METAL-COAL-HORSES-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRADE-FAIR-BRUSSELS-METAL-COAL-HORSES-Cattier-Heins-1885,Plate 1: 'Bourse des Metaux et des Charbons.' (Metal and Coal Trade Fair in Brussels 1885).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35732,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab930.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-SLED PACK HORSE-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-SLED-PACK-HORSE-Cattier-Heins-1885,Plate 3: 'Temps primitifs - Traineau - Chevaux Porteurs.' (Primitive times - Sled - Pack Horses).,"Good. General age-related toning. Moderate foxing, mostly left margin. Please study scan carefully.",Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35734,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab932.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-CHARLEMAGNE-PRINCELY CHARIOT-HORSE-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-CHARLEMAGNE-PRINCELY-CHARIOT-HORSE-Cattier-Heins-1885,Plate 6: 'Sous Charlemagne - IXe siecle - Char Princier.' (Under Emperor Charlemagne - 9th century - Princely Chariot).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35737,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab935.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-MIDDLE AGES-CLARION-HORSE-WAGON-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-MIDDLE-AGES-CLARION-HORSE-WAGON-Cattier-Heins-1885,Plate 9: 'Epoque Communale - XIIIe siecle - Voiture de Voyage des Dames Nobles - Sonneurs de Bazuin.' (Middle Ages - 13th century - Travel wagon of noble Ladies - Players of the Clarion).,Good. General age-related toning. Margin little soiled. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,35.1 x 24.7,35740,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab938-2.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-RAFT-SHELL BLOWERS-MUSIC-HORSE-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-RAFT-SHELL-BLOWERS-MUSIC-HORSE-Cattier-Heins-1885,Plate 2: 'Temps primitifs - Sonneurs de conques - Radeau.' (Primitive times - The Shell Blowers - Raft).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35733,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab931.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-SPANISH RULE-ROCKING CARRIAGE-HORSE-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-SPANISH-RULE-ROCKING-CARRIAGE-HORSE-Cattier-Heins-1885,Plate 15: 'Domination Espagnole - XVIe siecle - Char Branlant.' (Spanish rule - 16th century - Rocking Carriage).,Good. General age-related toning. Moderate foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35746,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab944.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-MIDDLE AGES-LADIES' WAGON-HORSE-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-MIDDLE-AGES-LADIES-WAGON-HORSE-Cattier-Heins-1885,Plate 12: 'Epoque Communale - XIIIe siecle - Voiture de Dames.' (Middle Ages - 13th century - Ladies' Wagon).,Good. General age-related toning. Some foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35743,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab941.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-SPANISH RULE-HANSEATIC LEAGUE-WAGON-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-SPANISH-RULE-HANSEATIC-LEAGUE-WAGON-Cattier-Heins-1885,Plate 21: 'Domination Espagnole - XVIe siecle - Chariots de Transport de la Hanse.' (Spanish rule - 16th century - Transportation wagons of the Hanseatic League).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35752,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab950.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-HOUSE OF BURGUNDY-WAGON-HORSE-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-HOUSE-OF-BURGUNDY-WAGON-HORSE-Cattier-Heins-1885,Plate 13: 'Regne de la Maison de Bourgogne - XVe siecle - Voiture de Voyage avec Escorte.' (Reign of the House of Burgundy - 15th century - Wagon with escort).,"Good. General age-related toning. Some foxing, mainly in the margins. Please study scan carefully.",Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35744,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab942.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-SPANISH RULE-MUSICAL CHARIOT-MERCHANT-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-SPANISH-RULE-MUSICAL-CHARIOT-MERCHANT-Cattier-Heins-1885,Plate 20: 'Domination Espagnole - XVIe siecle - Char de la Musique des Marchands.' (Spanish rule - 16th century - Musical Chariot of the Merchants).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35751,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab949.jpg,,,,,,Travel and Transportation
Antique Print-TRANSPORT-HOUSE OF BURGUNDY-CHATELAINE-LITTER-Cattier-Heins-1885,"59,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-HOUSE-OF-BURGUNDY-CHATELAINE-LITTER-Cattier-Heins-1885,Plate 14: 'Regne de la Maison de Bourgogne - XVe siecle - Litiere de Chatelaine.' (Reign of the House of Burgundy - 15th century - Litter of a Chatelaine).,Good. General age-related toning. Occasional light foxing. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,39.5 x 24.5,35745,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab943.jpg,,,,,,Travel and Transportation
Antique Print-SHIP TRANSPORT-SIGNAL-NAVIGATION-Larousse-1897,"62,50",http://www.theprintscollector.com/Article/Antique-Print-SHIP-TRANSPORT-SIGNAL-NAVIGATION-Larousse-1897,Plate :'Navigation'. (Ship transport). This plate shows flags and signals used in international ship transport.,"Excellent. Some small stains in lower margin, not affecting image. General age-related toning and occasional light stains from handling. Please study image carefully.",Colour lithograph using rastering techniques.,23.6 x 31,22585,"This lithographic print originates from: 'Nouveau Larousse Illustre en sept volumes.', Directeur Claude Auge, Paris, published 1897-1904, with a supplement addedin 1907. The Nouveau Larousse illustre (New Larousse Illustrated) was an illustrated French language encyclopedia published by Larousse between 1897-1904, in 7 volumes and a supplement. It was essentially a scaled-down version of the 'Grand dictionnaire universel du XIXe siecle.' (Great universal dictionary of the 19th century) of Pierre Larousse, but updated and written in a more neutral, scientific style under the editorship of Claude Auge.<BR><BR><B>Artists and Engravers:  </B>Pierre Larousse (1817-1875). Claude Auge (1854-1924). Plate by Vignerot Demoulin.",Pierre Larousse (1817-1875). Claude Auge (1854-1924). Plate by Vignerot Demoulin.,http://www.theprintscollector.com/ebay/img/bb13146a-2.jpg,http://www.theprintscollector.com/ebay/img/bb13146a-2.jpg,http://www.theprintscollector.com/ebay/img/bb13146b-2.jpg,,,,Travel and Transportation
Antique Print-TRANSPORT-CHARIOT-NERVII-OX-HORSE-Cattier-Heins-1885,"62,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-CHARIOT-NERVII-OX-HORSE-Cattier-Heins-1885,Plate 4: 'Temps primitifs - Chariot Nervien avec Escorte.' (Primitive times - Chariot of the Nervii with escort). The Nervii were one of the most powerful Belgic tribes; living in the north of Gaul at the time of its conquest by Rome.,Good. A few stains in middle of print. General age-related toning and/or occasional minor defects from handling. Please study scan carefully.,Colour lithograph on a vellin type paper.,35.4 x 24.6,35735,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab933-2.jpg,http://www.theprintscollector.com/ebay/img/ab933-2.jpg,http://www.theprintscollector.com/ebay/img/ab933-2a.jpg,http://www.theprintscollector.com/ebay/img/ab933-2b.jpg,http://www.theprintscollector.com/ebay/img/ab933-2c.jpg,,Travel and Transportation
Antique Print-TRANSPORT-SPANISH RULE-BARGE-HORSE-BRUGES CANAL-Cattier-Heins-1885,"62,50",http://www.theprintscollector.com/Article/Antique-Print-TRANSPORT-SPANISH-RULE-BARGE-HORSE-BRUGES-CANAL-Cattier-Heins-1885,"Plate 17: 'Domination Espagnole - XVIe siecle - Barge Faisant le Service sur le canal de Bruges a Gand.' (Spanish rule - 16th century - A barge on the Bruges Canal in Gand, Belgium). Parade float.",Very good. Occasional light foxing. General age-related toning and/or occasional minor defects from handling. Please study scan carefully.,Colour lithograph including use of gold colour on some plates.,35.2 x 24.7,35748,"This original antique print originates from 'Cortege Historique des Moyens de Transport. Cinquantenaire des Chemins de Fer Belges 1835-1885' by Edmond Cattier, Bruxelles J. Rozez 1886. (transl.: Historic suite of modes of transportation. 50 Years of Belgian Railroads 1835-1885.) The chromolithographed plates are after aquarelles of A. Heins.<BR><BR><B>Artists and Engravers:  </B>Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.","Edmond Cattier, Belgian author. Armand Heins (1856-1938), Belgian artist.",http://www.theprintscollector.com/ebay/img/ab946-2a.jpg,http://www.theprintscollector.com/ebay/img/ab946-2a.jpg,http://www.theprintscollector.com/ebay/img/ab946-2.jpg,http://www.theprintscollector.com/ebay/img/ab946-2b.jpg,http://www.theprintscollector.com/ebay/img/ab946-2c.jpg,http://www.theprintscollector.com/ebay/img/ab946-2d.jpg,Travel and Transportation
Antique Print-STEAM CORVETTE USS NIAGARA-TRANSATLANTIC CABLE-Weedon-Smyth-1857,"104,50",http://www.theprintscollector.com/Article/Antique-Print-STEAM-CORVETTE-USS-NIAGARA-TRANSATLANTIC-CABLE-Weedon-Smyth-1857,"Antique print, titled: 'The United States steam corvette Niagara.' - Depiction of the USS Niagara.","Good, given age. No margins. General age-related toning and/or occasional minor defects from handling. Please study scan carefully.",Wood engraving on Wove paper.,,73337,From The Illustrated London News. USS Niagara.<BR><BR><B>Artists and Engravers:  </B>Made by 'Frederick James Smyth' after 'Edwin Weedon'. Frederick James Smyth (1841-1867) worked as a wood engraver. Edwin Weedon (1819-1873) worked as the chief maritime artist for the Illustrated London News.,Made by 'Frederick James Smyth' after 'Edwin Weedon'. Frederick James Smyth (1841-1867) worked as a wood engraver. Edwin Weedon (1819-1873) worked as the chief maritime artist for the Illustrated London News.,http://www.theprintscollector.com/ebay/img/t226-14a.jpg,http://www.theprintscollector.com/ebay/img/t226-14a.jpg,http://www.theprintscollector.com/ebay/img/t226-14.jpg,http://www.theprintscollector.com/ebay/img/t226-14b.jpg,http://www.theprintscollector.com/ebay/img/t226-14c.jpg,http://www.theprintscollector.com/ebay/img/t226-14d.jpg,Travel and Transportation
2 Antique Prints-HISTORY-TRANSPORT-SUEZ CANAL-EGYPT-OPEN-LESSEPS-Anonymous-1869,"132,50",http://www.theprintscollector.com/Article/2-Antique-Prints-HISTORY-TRANSPORT-SUEZ-CANAL-EGYPT-OPEN-LESSEPS-Anonymous-1869,"2 Antique prints, titled: 'Opening of the Suez Canal, the procession of the ships in the canal.' - Two prints concerning the opening of the Suez Canal in 1869.","Good, given age. No margins. Some foxing. General age-related toning and/or occasional minor defects from handling. Please study scan carefully.",Wood engraving on Wove paper.,,73328,From The Illustrated London News. Suez canal.<BR><BR><B>Artists and Engravers:  </B>Anonymous.,Anonymous.,http://www.theprintscollector.com/ebay/img/t226-5a.jpg,http://www.theprintscollector.com/ebay/img/t226-5a.jpg,http://www.theprintscollector.com/ebay/img/t226-5.jpg,http://www.theprintscollector.com/ebay/img/t226-5b.jpg,http://www.theprintscollector.com/ebay/img/t226-5c.jpg,http://www.theprintscollector.com/ebay/img/t226-5d.jpg,Travel and Transportation
Antique Print-MARITIME-STEAM SHIP S.S. GREAT EASTERN-BRUNEL-Weedon-Landells-1859,"132,50",http://www.theprintscollector.com/Article/Antique-Print-MARITIME-STEAM-SHIP-SS-GREAT-EASTERN-BRUNEL-Weedon-Landells-1859,"Antique print, titled: 'The ""Great Eastern"" steam ship 22500 tons.' - Depiction of the large steamer S S Great Eastern.","Good, given age. No margins, central fold as published. Some foxing. General age-related toning and/or occasional minor defects from handling. Please study scan carefully.",Wood engraving on Wove paper.,,73327,From The Illustrated London News. S S Great Eastern.<BR><BR><B>Artists and Engravers:  </B>Made by 'Ebenezer Landells' after 'Edwin Weedon'. Ebenzer Landells (1808-1860) worked as a wood engraver. Edwin Weedon (1819-1873) worked as the chief maritime artist for the Illustrated London News.,Made by 'Ebenezer Landells' after 'Edwin Weedon'. Ebenzer Landells (1808-1860) worked as a wood engraver. Edwin Weedon (1819-1873) worked as the chief maritime artist for the Illustrated London News.,http://www.theprintscollector.com/ebay/img/t226-4a.jpg,http://www.theprintscollector.com/ebay/img/t226-4a.jpg,http://www.theprintscollector.com/ebay/img/t226-4.jpg,http://www.theprintscollector.com/ebay/img/t226-4b.jpg,http://www.theprintscollector.com/ebay/img/t226-4c.jpg,,Travel and Transportation
Optical Antique Print-PONDICHERRY-COROMANDEL-INDIA-REMONDINI-Anonymous-ca. 1770,"327,50",http://www.theprintscollector.com/Article/Optical-Antique-Print-PONDICHERRY-COROMANDEL-INDIA-REMONDINI-Anonymous-ca-1770,"Antique print, titled: 'Prospectus camerate vine in Hortis Gubernatoris Pondicherii in Indiis Orientalibus ad oram Coromandelis.' - Optical view of the garden of the governor of Puducherry at the Coromandel coast. This optical print shows a view of the gardens of the governor at Pondicherry on the coast of Coromandel, India, with a huge trellis arcade supporting grapevines.","Very good, given age. Ample margins, some folding. Small tear in lower marginh, extending 1 cm into image, consolidated with acid free tape. General age-related toning and/or occasional minor defects from handling. Please study scan carefully.",Engraving on Laid paper. Watermark: Crowned R,48.6 x 35,72224,"Nice, contemporary colored example. Pondicherry.<BR><BR><B>Artists and Engravers:  </B>Anonymous.",Anonymous.,http://www.theprintscollector.com/ebay/img/t131-6a.jpg,http://www.theprintscollector.com/ebay/img/t131-6a.jpg,http://www.theprintscollector.com/ebay/img/t131-6.jpg,http://www.theprintscollector.com/ebay/img/t131-6b.jpg,http://www.theprintscollector.com/ebay/img/t131-6c.jpg,http://www.theprintscollector.com/ebay/img/t131-6d.jpg,Travel and Transportation
